鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
新莊區,房地(土地+建物)+車位,新北市新莊區福德二街51~100號,35.71,住,,,10211,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000524,241.32999999999998,3,2,2,有,有,有,35000,145,坡道平面,64.04,0
新莊區,房地(土地+建物),新北市新莊區明中街47巷1~50號,28.34,住,,,10211,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711231,84.64,3,2,1,有,無,無,13000,154,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區立信一街51~100號,18.77,住,,,10211,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950119,177.2,4,2,2,有,有,有,25000,141,坡道平面,20.25,0
新莊區,建物,新北市新莊區思源路1~50號,2766.6,,,,10212,土地0建物1車位0,一層,13,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0871223,177.9,0,0,0,無,無,無,75000,422,,0.0,0
中和區,房地(土地+建物),新北市中和區建康路251~300號,73.42,工,,,10211,土地1建物1車位0,二層,7,廠辦,見其他登記事項,見其他登記事項,1010424,284.25,0,0,0,無,無,無,57000,201,,0.0,0
三重區,房地(土地+建物),新北市三重區三陽路100巷3弄1~50號,27.25,住,,,10211,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0571005,88.24,3,2,1,有,無,無,12000,136,,0.0,0
汐止區,房地(土地+建物),新北市汐止區康寧街451~500號,180.44,住,,,10212,土地2建物1車位0,三層,4,套房(1房1廳1衛),住家用,加強磚造,0610102,265.92,0,0,0,無,無,有,9500,36,,0.0,0
汐止區,房地(土地+建物),新北市汐止區康寧街451~500號,180.44,住,,,10212,土地2建物1車位0,三層,4,套房(1房1廳1衛),住家用,加強磚造,0610102,265.92,0,0,0,無,無,有,9500,36,,0.0,0
汐止區,房地(土地+建物),新北市汐止區康寧街451~500號,180.44,住,,,10212,土地2建物1車位0,三層,4,套房(1房1廳1衛),住家用,加強磚造,0610102,265.92,0,0,0,無,無,有,9500,36,,0.0,0
樹林區,房地(土地+建物)+車位,新北市樹林區學成路701~750號,14.35,住,,,10212,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990430,108.22,2,2,1,有,有,有,15000,139,坡道平面,15.41,0
三峽區,房地(土地+建物)+車位,新北市三峽區學勤路151~200號,17.15,商,,,10212,土地1建物1車位1,九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960727,188.2,3,2,2,有,有,有,20000,106,坡道平面,42.32,0
樹林區,房地(土地+建物)+車位,新北市樹林區大義路151~200號,16.73,商,,,10212,土地1建物1車位1,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980108,198.24,4,2,2,有,有,有,23000,116,坡道平面,33.19,0
三峽區,房地(土地+建物),新北市三峽區國際二街1~50號,5.34,住,,,10212,土地1建物1車位0,十四層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970204,39.02,1,1,1,有,有,有,7600,195,,0.0,0
板橋區,房地(土地+建物),新北市板橋區文化路一段351~400號,2.18,住,,,10210,土地1建物1車位0,二十九層,40,套房(1房1廳1衛),住家用,見其他登記事項,0990715,42.5,1,0,1,有,有,有,16000,376,,0.0,0
板橋區,房地(土地+建物),新北市板橋區四川路一段301~350號,21.0,住,,,10210,土地1建物1車位0,全,4,透天厝,住家用,加強磚造,0430701,40.42,0,0,0,無,無,無,18000,445,,0.0,0
新店區,建物,新北市新店區北新路一段301~350號,0.0,住,,,10210,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0751223,120.45,0,0,0,無,無,無,29545,245,,0.0,0
三峽區,房地(土地+建物),新北市三峽區添福1~50號,452.07,,一般農業區,丁種建築用地,10210,土地1建物2車位0,見其他登記事項,3,廠辦,見其他登記事項,鋼筋混凝土造,0830131,935.01,0,0,0,無,無,無,45000,48,,0.0,0
鶯歌區,房地(土地+建物),新北市鶯歌區鶯桃路296巷51~100號,21.3,住,,,10211,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0810430,111.45,0,0,0,無,無,無,17000,153,,0.0,0
三重區,建物,新北市三重區光復路一段61巷1~50號,0.0,,,,10212,土地0建物1車位1,二層,15,廠辦,見其他登記事項,見其他登記事項,1020812,806.0,0,0,0,無,有,無,78558,97,坡道平面,0.0,0
新店區,房地(土地+建物),新北市新店區行政街1~50號,5.71,住,,,10211,土地1建物1車位0,一層,20,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880930,68.16,0,0,1,有,無,有,17000,249,,0.0,0
淡水區,房地(土地+建物),新北市淡水區中山北路一段201~250號,106.29,商,,,10212,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0630524,153.8,0,0,0,無,無,無,20000,130,,0.0,0
八里區,房地(土地+建物),新北市八里區中華路二段308巷6弄1~50號,22.03,住,,,10212,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820310,105.0,3,1,2,有,無,無,20000,190,,0.0,0
板橋區,房地(土地+建物),新北市板橋區大觀路三段133巷1~50號,12.59,住,,,10212,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,71.43,2,1,1,有,有,有,10000,140,,0.0,0
板橋區,建物,新北市板橋區光武街46巷1~50號,0.0,住,,,10212,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,108.24,3,2,1,有,無,有,17500,162,,0.0,0
新莊區,房地(土地+建物),新北市新莊區民安路401~450號,5941.78,工,,,10212,土地1建物1車位0,見其他登記事項,3,廠辦,工業用,加強磚造,0640204,482.04,0,0,1,有,無,無,185000,384,,0.0,0
汐止區,房地(土地+建物),新北市汐止區康寧街451~500號,180.44,住,,,10212,土地2建物1車位0,三層,4,套房(1房1廳1衛),住家用,加強磚造,0610102,265.92,0,0,0,無,無,有,9500,36,,0.0,0
汐止區,建物,新北市汐止區大同路三段201~250號,10.99,工,,,10211,土地0建物1車位2,八層,10,廠辦,工業用,鋼筋混凝土造,0810629,102.47,0,0,0,有,有,無,16200,319,坡道平面,63.64,3800
汐止區,建物,新北市汐止區同路三段201~250號,271.78,工,,,10211,土地0建物4車位4,八層,10,廠辦,工業用,鋼筋混凝土造,0810629,2360.06,0,0,0,有,有,無,293168,128,坡道平面,127.28,7600
汐止區,建物,新北市汐止區新臺五路一段51~100號,17.44,工,,,10211,土地0建物1車位0,十七層,20,廠辦,工商用,鋼造,0830330,269.17,0,0,0,有,有,無,47229,175,,0.0,0
汐止區,建物,新北市汐止區新臺五路一段51~100號,17.44,工,,,10211,土地0建物1車位0,二十層,21,廠辦,工商用,鋼造,0830330,235.06,0,0,0,有,有,無,44088,188,,0.0,0
汐止區,建物,新北市汐止區湖前街110巷97弄1~50號,0.0,住,,,10212,土地0建物1車位0,二十一層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,61.22,1,1,1,有,有,有,14000,229,,0.0,0
汐止區,建物,新北市汐止區湖前街110巷97弄1~50號,0.0,住,,,10211,土地0建物1車位0,十六層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,107.62,3,2,2,有,有,無,15000,139,,0.0,0
