鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
南港區,房地(土地+建物),臺北市南港區園區街1~50號,0.0,住,,,10211,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000412,167.01,3,2,2,有,有,有,58000,347,,0.0,0
信義區,建物,臺北市信義區吳興街451~500號,0.0,住,,,10211,土地0建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,0790828,64.11,3,1,2,有,無,無,23000,359,,0.0,0
中山區,建物,臺北市中山區林森北路133巷1~50號,0.0,商,,,10211,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,106.74,0,0,1,有,無,無,73863,692,,0.0,0
中山區,房地(土地+建物),臺北市中山區松江路151~200號,123.0,商,,,10211,土地1建物1車位0,全,2,透天厝,,加強磚造,,197.98,0,0,1,有,無,無,128000,647,,0.0,0
中山區,建物,臺北市中山區中山北路二段59巷1~50號,0.0,商,,,10211,土地0建物1車位0,十四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880928,86.58,3,2,2,有,有,有,40000,462,,0.0,0
中山區,建物,臺北市中山區中山北路二段151~200號,0.0,商,,,10211,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0951129,59.11,3,1,1,有,有,有,30000,508,,0.0,0
中山區,建物,臺北市中山區松江路330巷1~50號,0.0,住,,,10210,土地0建物1車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0610815,22.88,1,1,1,有,無,有,10000,437,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區瑞光路76巷51~100號,234.54,工,,,10210,土地1建物1車位0,六層,6,廠辦,見其他登記事項,鋼筋混凝土造,0971030,234.54,0,0,0,無,無,無,165000,704,,0.0,0
中山區,房地(土地+建物),臺北市中山區南京東路三段51~100號,742.51,商,,,10211,土地1建物1車位0,十二層,16,辦公商業大樓,商業用,鋼筋混凝土造,0811012,742.51,0,0,0,無,有,有,350000,471,坡道平面,0.0,0
內湖區,建物,臺北市內湖區民權東路六段123巷1~50號,0.0,商,,,10212,土地0建物1車位0,八層,14,辦公商業大樓,商業用,鋼筋混凝土造,0890106,93.76,2,1,0,有,有,無,31000,331,,0.0,0
內湖區,建物,臺北市內湖區內湖路一段651~700號,0.0,其他,,,10211,土地0建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0991123,109.63,3,2,2,有,有,有,43700,399,,0.0,0
中山區,建物,臺北市中山區天津街51~100號,0.0,商,,,10211,土地0建物1車位0,三層,7,辦公商業大樓,商業用,鋼筋混凝土造,,195.87,0,0,0,無,無,無,38000,194,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區環山路二段101~150號,251.36,住,,,10211,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980402,46.69,1,0,0,無,有,有,17000,364,,0.0,0
中山區,建物,臺北市中山區長春路301~350號,0.0,住,,,10212,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990212,46.33,1,1,1,有,有,有,30000,648,,0.0,0
中山區,建物,臺北市中山區松江路77巷1~50號,0.0,商,,,10212,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931224,41.68,1,1,1,有,有,有,37000,888,,0.0,0
中山區,建物,臺北市中山區中山北路二段101~150號,0.0,商,,,10211,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970611,152.27,2,2,2,有,有,有,60000,394,,0.0,0
中山區,建物,臺北市中山區撫順街1~50號,0.0,商,,,10211,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0651108,60.97,1,1,1,有,有,有,20000,328,,0.0,0
內湖區,建物,臺北市內湖區康寧路一段251~300號,0.0,住,,,10211,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801021,47.540000000000006,1,1,1,有,有,有,14000,294,,0.0,0
中山區,房地(土地+建物),臺北市中山區民生東路三段1~50號,51.56,住,,,10211,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700203,102.3,4,2,2,有,無,有,34091,333,,0.0,0
中山區,建物,臺北市中山區中山北路二段1~50號,0.0,商,,,10211,土地0建物2車位0,八層,12,辦公商業大樓,商業用,鋼筋混凝土造,0761103,91.84,0,0,0,無,無,無,43000,468,,0.0,0
中山區,建物,臺北市中山區樂群三路51~100號,0.0,商,,,10211,土地0建物1車位0,七層,8,辦公商業大樓,商業用,鋼筋混凝土造,0951201,77.15,0,0,0,無,無,無,39000,506,,0.0,0
中山區,建物,臺北市中山區撫順街1~50號,0.0,商,,,10211,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,112.98,1,1,1,有,有,有,44000,389,,0.0,0
內湖區,建物,臺北市內湖區民權東路六段101~150號,0.0,商,,,10211,土地0建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,122.22,2,2,1,有,有,無,27000,221,坡道平面,37.47,0
中山區,建物,臺北市中山區新生北路三段1~50號,0.0,商,,,10212,土地0建物1車位0,一層,12,店面(店鋪),見使用執照,鋼筋混凝土造,0700703,97.8,0,0,0,無,有,有,37500,383,,0.0,0
內湖區,建物,臺北市內湖區新富街151~200號,63.39,商,,,10211,土地0建物0車位0,五層,14,辦公商業大樓,住家用,鋼筋混凝土造,1010601,506.99,0,0,0,無,無,有,159090,314,,0.0,0
中山區,建物,臺北市中山區農安街1~50號,0.0,商,,,10211,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0680420,31.450000000000003,1,0,1,有,有,有,10000,318,,0.0,0
